timestamp,busy,Total Duration (hrs),Total Energy (kWh),Average Power (kW)
9/1/2022 5:15,37,3.08333,740,8880
9/1/2022 5:20,22,1.75,420,5280
9/1/2022 5:25,24,1.83333,440,5760
9/1/2022 5:30,24,1.83333,440,5760
9/1/2022 5:35,39,3.25,780,9360
9/1/2022 5:40,33,2.75,660,7920
9/1/2022 5:45,30,2.5,600,7200
9/1/2022 5:50,37,3.08333,740,8880
9/1/2022 5:55,30,2.5,600,7200
9/1/2022 6:00,35,2.91667,700,8400
9/1/2022 6:05,26,2.08333,500,6240
9/1/2022 6:10,28,2.33333,560,6720
9/1/2022 6:15,34,2.75,660,8160
9/1/2022 6:20,36,2.83333,680,8640
9/1/2022 6:25,34,2.66667,640,8160
9/1/2022 6:30,33,2.75,660,7920
9/1/2022 6:35,34,2.83333,680,8160
9/1/2022 6:40,21,1.58333,380,5040
9/1/2022 6:45,39,3.25,780,9360
9/1/2022 6:50,39,3.25,780,9360
9/1/2022 6:55,36,3,720,8640
9/1/2022 7:00,35,2.83333,680,8400
9/1/2022 7:05,39,3.08333,740,9360
9/1/2022 7:10,38,3.16667,760,9120
9/1/2022 7:15,33,2.75,660,7920
9/1/2022 7:20,37,3.08333,740,8880
9/1/2022 7:25,37,3.08333,740,8880
9/1/2022 7:30,36,2.83333,680,8640
9/1/2022 7:35,37,3,720,8880
9/1/2022 7:40,36,2.83333,680,8640
9/1/2022 7:45,30,2.33333,560,7200
9/1/2022 7:50,30,2.33333,560,7200
9/1/2022 7:55,29,2.25,540,6960
9/1/2022 8:00,22,1.83333,440,5280
9/1/2022 8:05,26,2,480,6240
9/1/2022 8:10,19,1.5,360,4560
9/1/2022 8:15,18,1.33333,320,4320
9/1/2022 8:20,13,1,240,3120
9/1/2022 8:25,15,1.25,300,3600
9/1/2022 8:30,15,1.25,300,3600
9/1/2022 8:35,14,1,240,3360
9/1/2022 8:40,14,1.16667,280,3360
9/1/2022 8:45,9,0.66667,160,2160
9/1/2022 8:50,9,0.66667,160,2160
9/1/2022 8:55,14,1.16667,280,3360
9/1/2022 9:00,11,0.91667,220,2640
9/1/2022 9:05,7,0.41667,100,1680
9/1/2022 9:10,9,0.58333,140,2160
9/1/2022 9:15,6,0.33333,80,1440
9/1/2022 9:20,12,1,240,2880
9/1/2022 9:25,8,0.66667,160,1920
9/1/2022 9:30,4,0.25,60,960
9/1/2022 9:35,7,0.58333,140,1680
9/1/2022 9:40,5,0.33333,80,1200
9/1/2022 9:45,5,0.33333,80,1200
9/1/2022 9:50,3,0.16667,40,720
9/1/2022 9:55,7,0.58333,140,1680
9/1/2022 10:00,5,0.41667,100,1200
9/1/2022 10:05,3,0.08,20,720
9/1/2022 10:10,3,0.08,20,720
9/1/2022 10:15,4,0.16667,40,960
9/1/2022 10:20,6,0.5,120,1440
9/1/2022 10:25,3,0.08,20,720
9/1/2022 10:30,7,0.58333,140,1680
9/1/2022 10:35,8,0.66667,160,1920
9/1/2022 10:40,5,0.41667,100,1200
9/1/2022 10:45,8,0.66667,160,1920
9/1/2022 10:50,8,0.66667,160,1920
9/1/2022 10:55,4,0.33333,80,960
9/1/2022 11:00,6,0.41667,100,1440
9/1/2022 11:05,6,0.41667,100,1440
9/1/2022 11:10,6,0.41667,100,1440
9/1/2022 11:15,,,,0
9/1/2022 11:20,7,0.5,120,1680
9/1/2022 11:25,,,,0
9/1/2022 11:30,,,,0
9/1/2022 11:35,,,,0
9/1/2022 11:40,,,,0
9/1/2022 11:45,9,0.5,120,2160
9/1/2022 11:50,,,,0
9/1/2022 11:55,,,,0
9/1/2022 12:00,10,0.58333,140,2400
9/1/2022 12:05,15,1.25,300,3600
9/1/2022 12:10,16,1.33333,320,3840
9/1/2022 12:15,32,2.66667,640,7680
9/1/2022 12:20,23,1.83333,440,5520
9/1/2022 12:25,32,2.66667,640,7680
9/1/2022 12:30,26,0.91667,220,6240
9/1/2022 12:35,17,1.41667,340,4080
9/1/2022 12:40,36,3,720,8640
9/1/2022 12:45,31,2.58333,620,7440
9/1/2022 12:50,31,2.58333,620,7440
9/1/2022 12:55,33,2.75,660,7920
9/1/2022 13:00,19,1.33333,320,4560
9/1/2022 13:05,19,1.33333,320,4560
9/1/2022 13:10,35,2.91667,700,8400
9/1/2022 13:15,19,1.58333,380,4560
9/1/2022 13:20,25,1.83333,440,6000
9/1/2022 13:25,33,2.75,660,7920
9/1/2022 13:30,29,2.33333,560,6960
9/1/2022 13:35,30,2.5,600,7200
9/1/2022 13:40,10,0.83333,200,2400
9/1/2022 13:45,23,1.91667,460,5520
9/1/2022 13:50,25,2.08333,500,6000
9/1/2022 13:55,9,0.75,180,2160
9/1/2022 14:00,15,1,240,3600
9/1/2022 14:05,16,1.33333,320,3840
9/1/2022 14:10,18,1.33333,320,4320
9/1/2022 14:15,16,1.33333,320,3840
9/1/2022 14:20,16,1.33333,320,3840
9/1/2022 14:25,16,1.16667,280,3840
9/1/2022 14:30,16,1.16667,280,3840
9/1/2022 14:35,7,0.58333,140,1680
9/1/2022 14:40,14,1.16667,280,3360
9/1/2022 14:45,13,1.08333,260,3120
9/1/2022 14:50,7,0.58333,140,1680
9/1/2022 14:55,12,1,240,2880
9/1/2022 15:00,10,0.83333,200,2400
9/1/2022 15:05,,,,0
9/1/2022 15:10,,,,0
9/1/2022 15:15,,,,0
9/1/2022 15:20,,,,0
9/1/2022 15:25,,,,0
9/1/2022 15:30,15,1,240,3600
9/1/2022 15:35,,,,0
9/1/2022 15:40,,,,0
9/1/2022 15:45,14,1.16667,280,3360
9/1/2022 15:50,14,1.16667,280,3360
9/1/2022 15:55,,,,0
9/1/2022 16:00,,,,0
9/1/2022 16:05,,,,0
9/1/2022 16:10,,,,0
9/1/2022 16:15,,,,0
9/1/2022 16:20,17,1.41667,340,4080
9/1/2022 16:25,,,,0
9/1/2022 16:30,,,,0
9/1/2022 16:35,22,1.66667,400,5280
9/1/2022 16:40,,,,0
9/1/2022 16:45,,,,0
9/1/2022 16:50,,,,0
9/1/2022 16:55,,,,0
9/1/2022 17:00,24,2,480,5760
9/1/2022 17:05,26,2.16667,520,6240
9/1/2022 17:10,26,2.16667,520,6240
9/1/2022 17:15,22,1.83333,440,5280
9/1/2022 17:20,22,1.83333,440,5280
9/1/2022 17:25,29,2.41667,580,6960
9/1/2022 17:30,30,2.5,600,7200
9/1/2022 17:35,31,2.58333,620,7440
9/1/2022 17:40,29,2.41667,580,6960
9/1/2022 17:45,34,2.83333,680,8160
9/1/2022 17:50,26,2,480,6240
9/1/2022 17:55,20,1.5,360,4800
9/1/2022 18:00,26,2,480,6240
9/1/2022 18:05,25,1.91667,460,6000
9/1/2022 18:10,25,1.91667,460,6000
9/1/2022 18:15,22,1.66667,400,5280
9/1/2022 18:20,24,2,480,5760
9/1/2022 18:25,21,1.58333,380,5040
9/1/2022 18:30,20,1.5,360,4800
9/1/2022 18:35,20,1.5,360,4800
9/1/2022 18:40,18,1.33333,320,4320
9/1/2022 18:45,16,1.33333,320,3840
9/1/2022 18:50,14,1,240,3360
9/1/2022 18:55,19,1.58333,380,4560
9/1/2022 19:00,18,1.5,360,4320
9/1/2022 19:05,21,1.75,420,5040
9/1/2022 19:10,24,1.83333,440,5760
9/1/2022 19:15,20,1.5,360,4800
9/1/2022 19:20,21,1.58333,380,5040
9/1/2022 19:25,26,2.16667,520,6240
9/1/2022 19:30,21,1.75,420,5040
9/1/2022 19:35,24,1.83333,440,5760
9/1/2022 19:40,21,1.75,420,5040
9/1/2022 19:45,21,1.75,420,5040
9/1/2022 19:50,21,1.75,420,5040
9/1/2022 19:55,19,1.41667,340,4560
9/1/2022 20:00,20,1.66667,400,4800
9/1/2022 20:05,21,1.75,420,5040
9/1/2022 20:10,20,1.5,360,4800
9/1/2022 20:15,20,1.5,360,4800
9/1/2022 20:20,19,1.41667,340,4560
9/1/2022 20:25,11,0.75,180,2640
9/1/2022 20:30,15,1.25,300,3600
9/1/2022 20:35,22,1.83333,440,5280
9/1/2022 20:40,16,1.33333,320,3840
9/1/2022 20:45,16,1.33333,320,3840
9/1/2022 20:50,13,1.08333,260,3120
9/1/2022 20:55,14,1,240,3360
9/1/2022 21:00,14,1.16667,280,3360
9/1/2022 21:05,12,1,240,2880
9/1/2022 21:10,12,1,240,2880
9/1/2022 21:15,14,1.16667,280,3360
9/1/2022 21:20,14,1.16667,280,3360
9/1/2022 21:25,11,0.91667,220,2640
9/1/2022 21:30,19,1.58333,380,4560
9/1/2022 21:35,19,1.58333,380,4560
9/1/2022 21:40,12,1,240,2880
9/1/2022 21:45,15,1.25,300,3600
9/1/2022 21:50,14,1.16667,280,3360
9/1/2022 21:55,15,1.25,300,3600
9/1/2022 22:00,15,1.25,300,3600
9/1/2022 22:05,14,1.16667,280,3360
9/1/2022 22:10,16,1.16667,280,3840
9/1/2022 22:15,27,2.25,540,6480
9/1/2022 22:20,21,1.75,420,5040
9/1/2022 22:25,21,1.75,420,5040
9/1/2022 22:30,21,1.75,420,5040
9/1/2022 22:35,19,1.58333,380,4560
9/1/2022 22:40,15,1.08333,260,3600
9/1/2022 22:45,15,1.08333,260,3600
9/1/2022 22:50,21,1.75,420,5040
9/1/2022 22:55,12,1,240,2880
9/1/2022 23:00,26,2.16667,520,6240
9/1/2022 23:05,26,2.16667,520,6240
9/1/2022 23:10,26,2.16667,520,6240
9/1/2022 23:15,21,1.75,420,5040
9/1/2022 23:20,20,1.5,360,4800
9/1/2022 23:25,15,1.25,300,3600
9/1/2022 23:30,18,1.5,360,4320
9/1/2022 23:35,25,2.08333,500,6000
9/1/2022 23:40,18,1.33333,320,4320
9/1/2022 23:45,17,1.41667,340,4080
9/1/2022 23:50,17,1.41667,340,4080
9/1/2022 23:55,17,1.41667,340,4080
9/2/2022 0:00,23,1.91667,460,5520
9/2/2022 0:05,27,2.25,540,6480
9/2/2022 0:10,28,2.16667,520,6720
9/2/2022 0:15,28,2.16667,520,6720
9/2/2022 0:20,32,2.66667,640,7680
9/2/2022 0:25,32,2.66667,640,7680
9/2/2022 0:30,37,3.08333,740,8880
9/2/2022 0:35,32,2.5,600,7680
9/2/2022 0:40,38,3.16667,760,9120
9/2/2022 0:45,38,3.16667,760,9120
9/2/2022 0:50,40,3.33333,800,9600
9/2/2022 0:55,38,3.16667,760,9120
9/2/2022 1:00,40,3.25,780,9600
9/2/2022 1:05,40,3.33333,800,9600
9/2/2022 1:10,38,3.16667,760,9120
9/2/2022 1:15,36,2.91667,700,8640
9/2/2022 1:20,35,2.91667,700,8400
9/2/2022 1:25,35,2.91667,700,8400
9/2/2022 1:30,17,1.41667,340,4080
9/2/2022 1:35,35,2.91667,700,8400
9/2/2022 1:40,28,2.25,540,6720
9/2/2022 1:45,28,2.25,540,6720
9/2/2022 1:50,28,2.33333,560,6720
9/2/2022 1:55,37,3.08333,740,8880
9/2/2022 2:00,37,3.08333,740,8880
9/2/2022 2:05,28,2.33333,560,6720
9/2/2022 2:10,28,2.33333,560,6720
9/2/2022 2:15,13,1.08333,260,3120
9/2/2022 2:20,35,2.91667,700,8400
9/2/2022 2:25,35,2.91667,700,8400
9/2/2022 2:30,19,1.5,360,4560
9/2/2022 2:35,34,2.83333,680,8160
9/2/2022 2:40,23,1.83333,440,5520
9/2/2022 2:45,23,1.83333,440,5520
9/2/2022 2:50,16,1.33333,320,3840
9/2/2022 2:55,16,1.33333,320,3840
9/2/2022 3:00,17,1.41667,340,4080
9/2/2022 3:05,25,2,480,6000
9/2/2022 3:10,24,2,480,5760
9/2/2022 3:15,16,1.33333,320,3840
9/2/2022 3:20,18,1.5,360,4320
9/2/2022 3:25,22,1.83333,440,5280
9/2/2022 3:30,22,1.83333,440,5280
9/2/2022 3:35,17,1.41667,340,4080
9/2/2022 3:40,21,1.75,420,5040
9/2/2022 3:45,22,1.66667,400,5280
9/2/2022 3:50,16,1.33333,320,3840
9/2/2022 3:55,23,1.75,420,5520
9/2/2022 4:00,19,1.58333,380,4560
9/2/2022 4:05,19,1.58333,380,4560
9/2/2022 4:10,22,1.83333,440,5280
9/2/2022 4:15,22,1.75,420,5280
9/2/2022 4:20,25,2.08333,500,6000
9/2/2022 4:25,25,2.08333,500,6000
9/2/2022 4:30,20,1.58333,380,4800
9/2/2022 4:35,24,2,480,5760
9/2/2022 4:40,26,2.16667,520,6240
9/2/2022 4:45,27,2.25,540,6480
9/2/2022 4:50,26,2,480,6240
9/2/2022 4:55,31,2.58333,620,7440
9/2/2022 5:00,24,1.91667,460,5760
9/2/2022 5:05,33,2.75,660,7920
9/2/2022 5:10,17,1.41667,340,4080
9/2/2022 5:15,30,2.33333,560,7200
9/2/2022 5:20,17,1.41667,340,4080
9/2/2022 5:25,32,2.66667,640,7680
9/2/2022 5:30,21,1.75,420,5040
9/2/2022 5:35,29,2.41667,580,6960
9/2/2022 5:40,33,2.58333,620,7920
9/2/2022 5:45,29,2.41667,580,6960
9/2/2022 5:50,27,2.25,540,6480
9/2/2022 5:55,36,2.91667,700,8640
9/2/2022 6:00,39,3.25,780,9360
9/2/2022 6:05,27,2.25,540,6480
9/2/2022 6:10,33,2.75,660,7920
9/2/2022 6:15,19,1.41667,340,4560
9/2/2022 6:20,38,3.16667,760,9120
9/2/2022 6:25,38,3.16667,760,9120
9/2/2022 6:30,20,1.5,360,4800
9/2/2022 6:35,32,2.58333,620,7680
9/2/2022 6:40,33,2.66667,640,7920
9/2/2022 6:45,33,2.66667,640,7920
9/2/2022 6:50,37,3.08333,740,8880
9/2/2022 6:55,37,3.08333,740,8880
9/2/2022 7:00,37,3.08333,740,8880
9/2/2022 7:05,30,2.5,600,7200
9/2/2022 7:10,38,3.16667,760,9120
9/2/2022 7:15,40,3.33333,800,9600
9/2/2022 7:20,40,3.33333,800,9600
9/2/2022 7:25,37,3,720,8880
9/2/2022 7:30,39,3.25,780,9360
9/2/2022 7:35,37,0.91667,220,8880
9/2/2022 7:40,37,3.08333,740,8880
9/2/2022 7:45,31,2.41667,580,7440
9/2/2022 7:50,24,1.91667,460,5760
9/2/2022 7:55,29,2.41667,580,6960
9/2/2022 8:00,29,2.41667,580,6960
9/2/2022 8:05,18,1.5,360,4320
9/2/2022 8:10,15,1.25,300,3600
9/2/2022 8:15,20,1.5,360,4800
9/2/2022 8:20,20,1.5,360,4800
9/2/2022 8:25,16,1.33333,320,3840
9/2/2022 8:30,14,1.08333,260,3360
9/2/2022 8:35,15,1.25,300,3600
9/2/2022 8:40,15,1.25,300,3600
9/2/2022 8:45,5,0.41667,100,1200
9/2/2022 8:50,10,0.75,180,2400
9/2/2022 8:55,12,1,240,2880
9/2/2022 9:00,8,0.66667,160,1920
9/2/2022 9:05,8,0.58333,140,1920
9/2/2022 9:10,8,0.58333,140,1920
9/2/2022 9:15,9,0.58333,140,2160
9/2/2022 9:20,4,0.33333,80,960
9/2/2022 9:25,4,0.25,60,960
9/2/2022 9:30,5,0.41667,100,1200
9/2/2022 9:35,4,0.25,60,960
9/2/2022 9:40,2,0.16667,40,480
9/2/2022 9:45,10,0.66667,160,2400
9/2/2022 9:50,6,0.5,120,1440
9/2/2022 9:55,9,0.58333,140,2160
9/2/2022 10:00,9,0.58333,140,2160
9/2/2022 10:05,7,0.41667,100,1680
9/2/2022 10:10,7,0.41667,100,1680
9/2/2022 10:15,3,0.25,60,720
9/2/2022 10:20,7,0.58333,140,1680
9/2/2022 10:25,3,0.16667,40,720
9/2/2022 10:30,8,0.66667,160,1920
9/2/2022 10:35,3,0.16667,40,720
9/2/2022 10:40,9,0.58333,140,2160
9/2/2022 10:45,7,0.58333,140,1680
9/2/2022 10:50,4,0.33333,80,960
9/2/2022 10:55,6,0.5,120,1440
9/2/2022 11:00,6,0.5,120,1440
9/2/2022 11:05,,,,0
9/2/2022 11:10,10,0.66667,160,2400
9/2/2022 11:15,10,0.66667,160,2400
9/2/2022 11:20,,,,0
9/2/2022 11:25,,,,0
9/2/2022 11:30,,,,0
9/2/2022 11:35,9,0.75,180,2160
9/2/2022 11:40,9,0.75,180,2160
9/2/2022 11:45,9,0.75,180,2160
9/2/2022 11:50,9,0.75,180,2160
9/2/2022 11:55,9,0.75,180,2160
9/2/2022 12:00,9,0.75,180,2160
9/2/2022 12:05,7,0.58333,140,1680
9/2/2022 12:10,7,0.58333,140,1680
9/2/2022 12:15,11,0.83333,200,2640
9/2/2022 12:20,17,1.41667,340,4080
9/2/2022 12:25,17,1.25,300,4080
9/2/2022 12:30,21,1.75,420,5040
9/2/2022 12:35,28,2.33333,560,6720
9/2/2022 12:40,21,1.75,420,5040
9/2/2022 12:45,23,1.91667,460,5520
9/2/2022 12:50,36,3,720,8640
9/2/2022 12:55,30,2.5,600,7200
9/2/2022 13:00,23,1.75,420,5520
9/2/2022 13:05,23,1.75,420,5520
9/2/2022 13:10,18,1.5,360,4320
9/2/2022 13:15,32,2.66667,640,7680
9/2/2022 13:20,31,2.5,600,7440
9/2/2022 13:25,27,2.25,540,6480
9/2/2022 13:30,36,3,720,8640
9/2/2022 13:35,27,2.25,540,6480
9/2/2022 13:40,23,1.91667,460,5520
9/2/2022 13:45,23,1.91667,460,5520
9/2/2022 13:50,29,2.41667,580,6960
9/2/2022 13:55,14,1,240,3360
9/2/2022 14:00,14,1,240,3360
9/2/2022 14:05,18,1.41667,340,4320
9/2/2022 14:10,19,1.5,360,4560
9/2/2022 14:15,21,1.75,420,5040
9/2/2022 14:20,9,0.75,180,2160
9/2/2022 14:25,8,0.66667,160,1920
9/2/2022 14:30,6,0.33333,80,1440
9/2/2022 14:35,7,0.41667,100,1680
9/2/2022 14:40,9,0.75,180,2160
9/2/2022 14:45,15,1.16667,280,3600
9/2/2022 14:50,8,0.66667,160,1920
9/2/2022 14:55,8,0.66667,160,1920
9/2/2022 15:00,7,0.58333,140,1680
9/2/2022 15:05,8,0.5,120,1920
9/2/2022 15:10,11,0.91667,220,2640
9/2/2022 15:15,9,0.58333,140,2160
9/2/2022 15:20,,,,0
9/2/2022 15:25,40,0,0,9600
9/2/2022 15:30,,,,0
9/2/2022 15:35,13,1.08333,260,3120
9/2/2022 15:40,,,,0
9/2/2022 15:45,,,,0
9/2/2022 15:50,,,,0
9/2/2022 15:55,,,,0
9/2/2022 16:00,,,,0
9/2/2022 16:05,27,2.08333,500,6480
9/2/2022 16:10,27,2.08333,500,6480
9/2/2022 16:15,,,,0
9/2/2022 16:20,,,,0
9/2/2022 16:25,,,,0
9/2/2022 16:30,,,,0
9/2/2022 16:35,,,,0
9/2/2022 16:40,14,1,240,3360
9/2/2022 16:45,,,,0
9/2/2022 16:50,,,,0
9/2/2022 16:55,18,1.5,360,4320
9/2/2022 17:00,18,1.5,360,4320
9/2/2022 17:05,22,1.75,420,5280
9/2/2022 17:10,25,2.08333,500,6000
9/2/2022 17:15,25,2.08333,500,6000
9/2/2022 17:20,25,2.08333,500,6000
9/2/2022 17:25,28,2.25,540,6720
9/2/2022 17:30,28,2.25,540,6720
9/2/2022 17:35,24,1.83333,440,5760
9/2/2022 17:40,25,2,480,6000
9/2/2022 17:45,33,2.66667,640,7920
9/2/2022 17:50,24,2,480,5760
9/2/2022 17:55,25,2,480,6000
9/2/2022 18:00,24,2,480,5760
9/2/2022 18:05,24,2,480,5760
9/2/2022 18:10,29,2.41667,580,6960
9/2/2022 18:15,25,2,480,6000
9/2/2022 18:20,19,1.41667,340,4560
9/2/2022 18:25,25,2,480,6000
9/2/2022 18:30,24,2,480,5760
9/2/2022 18:35,24,2,480,5760
9/2/2022 18:40,22,1.66667,400,5280
9/2/2022 18:45,17,1.41667,340,4080
9/2/2022 18:50,18,1.41667,340,4320
9/2/2022 18:55,16,1.33333,320,3840
9/2/2022 19:00,16,1.25,300,3840
9/2/2022 19:05,22,1.66667,400,5280
9/2/2022 19:10,22,1.83333,440,5280
9/2/2022 19:15,20,1.58333,380,4800
9/2/2022 19:20,16,1.33333,320,3840
9/2/2022 19:25,23,1.83333,440,5520
9/2/2022 19:30,16,1.33333,320,3840
9/2/2022 19:35,21,1.75,420,5040
9/2/2022 19:40,19,1.5,360,4560
9/2/2022 19:45,19,1.5,360,4560
9/2/2022 19:50,25,1.91667,460,6000
9/2/2022 19:55,18,1.41667,340,4320
9/2/2022 20:00,20,1.58333,380,4800
9/2/2022 20:05,18,1.41667,340,4320
9/2/2022 20:10,18,1.33333,320,4320
9/2/2022 20:15,18,1.33333,320,4320
9/2/2022 20:20,18,1.33333,320,4320
9/2/2022 20:25,10,0.83333,200,2400
9/2/2022 20:30,18,1.41667,340,4320
9/2/2022 20:35,12,0.83333,200,2880
9/2/2022 20:40,17,1.41667,340,4080
9/2/2022 20:45,15,1.16667,280,3600
9/2/2022 20:50,18,1.5,360,4320
9/2/2022 20:55,18,1.5,360,4320
9/2/2022 21:00,15,1.16667,280,3600
9/2/2022 21:05,7,0.58333,140,1680
9/2/2022 21:10,13,1,240,3120
9/2/2022 21:15,10,0.75,180,2400
9/2/2022 21:20,8,0.66667,160,1920
9/2/2022 21:25,10,0.83333,200,2400
9/2/2022 21:30,13,1.08333,260,3120
9/2/2022 21:35,11,0.91667,220,2640
9/2/2022 21:40,12,0.91667,220,2880
9/2/2022 21:45,14,1.16667,280,3360
9/2/2022 21:50,21,1.58333,380,5040
9/2/2022 21:55,11,0.83333,200,2640
9/2/2022 22:00,17,1.33333,320,4080
9/2/2022 22:05,16,1.25,300,3840
9/2/2022 22:10,19,1.41667,340,4560
9/2/2022 22:15,19,1.41667,340,4560
9/2/2022 22:20,19,1.41667,340,4560
9/2/2022 22:25,19,1.58333,380,4560
9/2/2022 22:30,8,0.58333,140,1920
9/2/2022 22:35,12,1,240,2880
9/2/2022 22:40,9,0.75,180,2160
9/2/2022 22:45,11,0.83333,200,2640
9/2/2022 22:50,9,0.75,180,2160
9/2/2022 22:55,12,0.91667,220,2880
9/2/2022 23:00,18,1.33333,320,4320
9/2/2022 23:05,13,1.08333,260,3120
9/2/2022 23:10,13,1,240,3120
9/2/2022 23:15,10,0.83333,200,2400
9/2/2022 23:20,20,1.66667,400,4800
9/2/2022 23:25,13,1,240,3120
9/2/2022 23:30,24,1.83333,440,5760
9/2/2022 23:35,17,1.41667,340,4080
9/2/2022 23:40,17,1.41667,340,4080
9/2/2022 23:45,18,1.41667,340,4320
9/2/2022 23:50,18,1.41667,340,4320
9/2/2022 23:55,21,1.75,420,5040
9/3/2022 0:00,30,2.5,600,7200
9/3/2022 0:05,30,2.5,600,7200
9/3/2022 0:10,30,2.5,600,7200
9/3/2022 0:15,38,3.16667,760,9120
9/3/2022 0:20,38,3.16667,760,9120
9/3/2022 0:25,38,3.16667,760,9120
9/3/2022 0:30,38,3.16667,760,9120
9/3/2022 0:35,38,3.16667,760,9120
9/3/2022 0:40,39,3.25,780,9360
9/3/2022 0:45,39,3.25,780,9360
9/3/2022 0:50,39,3.25,780,9360
9/3/2022 0:55,39,3.25,780,9360
9/3/2022 1:00,39,3.25,780,9360
9/3/2022 1:05,30,2.5,600,7200
9/3/2022 1:10,37,3.08333,740,8880
9/3/2022 1:15,39,3.25,780,9360
9/3/2022 1:20,39,3.25,780,9360
9/3/2022 1:25,39,3.25,780,9360
9/3/2022 1:30,36,3,720,8640
9/3/2022 1:35,36,3,720,8640
9/3/2022 1:40,36,3,720,8640
9/3/2022 1:45,37,3.08333,740,8880
9/3/2022 1:50,37,3.08333,740,8880
9/3/2022 1:55,37,3.08333,740,8880
9/3/2022 2:00,37,3.08333,740,8880
9/3/2022 2:05,37,3.08333,740,8880
9/3/2022 2:10,37,3.08333,740,8880
9/3/2022 2:15,36,3,720,8640
9/3/2022 2:20,36,3,720,8640
9/3/2022 2:25,30,2.5,600,7200
9/3/2022 2:30,30,2.5,600,7200
9/3/2022 2:35,30,2.5,600,7200
9/3/2022 2:40,27,2.25,540,6480
9/3/2022 2:45,27,2.25,540,6480
9/3/2022 2:50,27,2.25,540,6480
9/3/2022 2:55,24,2,480,5760
9/3/2022 3:00,24,2,480,5760
9/3/2022 3:05,24,2,480,5760
9/3/2022 3:10,16,1.33333,320,3840
9/3/2022 3:15,16,1.33333,320,3840
9/3/2022 3:20,16,1.33333,320,3840
9/3/2022 3:25,11,0.91667,220,2640
9/3/2022 3:30,11,0.91667,220,2640
9/3/2022 3:35,11,0.91667,220,2640
9/3/2022 3:40,10,0.83333,200,2400
9/3/2022 3:45,10,0.83333,200,2400
9/3/2022 3:50,10,0.83333,200,2400
9/3/2022 3:55,10,0.83333,200,2400
9/3/2022 4:00,10,0.83333,200,2400
9/3/2022 4:05,10,0.83333,200,2400
9/3/2022 4:10,13,1.08333,260,3120
9/3/2022 4:15,13,1.08333,260,3120
9/3/2022 4:20,13,1.08333,260,3120
9/3/2022 4:25,13,1.08333,260,3120
9/3/2022 4:30,13,1.08333,260,3120
9/3/2022 4:35,7,0.58333,140,1680
9/3/2022 4:40,7,0.58333,140,1680
